structure,basis set,PySCF_Corr,Psi4_Corr,Abs. Dev.,PySCF_norm_t1,Psi4_norm_t1,PySCF_norm_t2,Psi4_norm_t2
LiO,aug-cc-pVDZ,-0.187680444,-0.269544353,0.081863909,0.075586684,0.20817961139086363,0.30439736887460067,0.4435209694693242
HO,aug-cc-pVDZ,-0.179409152,-0.261330786,0.081921635,0.046201685,0.18226896612381016,0.2847407786522345,0.48649287675411634
NO,aug-cc-pVDZ,-0.345222841,-0.428849157,0.083626316,0.12950460699440886,0.21122385234928726,0.4216375193536191,0.34657891990482204
NO,cc-pVDZ,-0.329775041,-0.414553402,0.08477836,0.12974900320555638,0.19739219370865496,0.40519978758477304,0.34305114996405683
LiO,cc-pVDZ,-0.16714881,-0.25280044,0.085651629,0.078947809,0.20413494005067306,0.28053643786251065,0.44520846374690826
HO,STO-3G,-0.025212904,-0.115237164,0.09002426,0.015047158426977403,0.1514815499580117,0.12768779273253208,1.0044821429897584
LiO,STO-3G,-0.050511207,-0.174588741,0.124077534,0.29622504587676907,0.3025995006291365,0.36152819968283534,0.8432378255757819
CN,STO-3G,-0.183777242,-0.31782213,0.134044888,0.48715360310562483,0.6626067204516266,0.4276962501533055,0.7289550561130694
FO,aug-cc-pVDZ,-0.384823551,-0.549251939,0.164428388,0.156001193,0.5159980459568856,0.40907804178016377,0.44287322766831405
FO,cc-pVDZ,-0.358196349,-0.526366371,0.168170023,0.1487487314228532,0.5195070319143196,0.38165750353659356,0.44225945839471004
FO,STO-3G,-0.063092427,-0.237577951,0.174485523,0.13871842052113534,0.5914506807353704,0.2452547007862426,0.4851221501222229
CN,cc-pVDZ,-0.26725983,-0.445331961,0.178072131,0.3820523917910272,0.7487197808981426,0.4528543091656527,0.7158190080488003
CN,aug-cc-pVDZ,-0.275608245,-0.455483073,0.179874829,0.3772387531865802,0.7620282914672659,0.46070589142163304,0.7218079117337881
