,structure,basis set,PySCF_Corr,Psi4_Corr,PySCF_norm_t1,Psi4_norm_t1,PySCF_norm_t2,Psi4_norm_t2
97,FF,cc-pVDZ,-0.4044030520815113,-0.4044029643215626,0.03455503901449852,0.034554608688656896,0.2986819132476756,0.034554608688656896
98,FF,aug-cc-pVDZ,-0.4371928051090803,-0.43719280366240354,0.05155229838746198,0.05155204254950884,0.3102787039629595,0.05155204254950884
99,BN,STO-3G,-0.21187155836059013,-0.21187139879092273,0.21972401411153253,0.21972768787169009,0.5093449816723424,0.21972768787169009
100,BN,cc-pVDZ,-0.2905617554506221,-0.29056200625492284,0.23394806869819199,0.2339447503263315,0.4582820865883043,0.2339447503263315
101,BN,aug-cc-pVDZ,-0.29691588998481994,-0.2969158263878349,0.2360706069988159,0.23606912910758068,0.4579806270477886,0.23606912910758068
102,HO,STO-3G,,,,,,
103,HO,cc-pVDZ,,,,,,
104,HO,aug-cc-pVDZ,,,,,,
105,BeH,STO-3G,,,,,,
106,BeH,cc-pVDZ,,,,,,
107,BeH,aug-cc-pVDZ,,,,,,
