Name,L,Basis,Injection,Energy_NoRecovery,SubspaceDim_NoRecovery
"buta-1,3-diene",4,cc-pVDZ,random,-154.9339204035167,113569
"buta-1,3-diene",4,cc-pVDZ,zeroes,-154.9412722126449,35344
"buta-1,3-diene",5,STO-3G,CCSD,-153.0165417465356,143641
"buta-1,3-diene",5,STO-3G,ML,-153.0165417465356,113569
"buta-1,3-diene",5,STO-3G,ML_exact,-153.0165418519819,137641
"buta-1,3-diene",5,STO-3G,MP2,-153.0165417465356,170569
"buta-1,3-diene",5,STO-3G,random,-153.0165417465356,131769
"buta-1,3-diene",5,STO-3G,zeroes,-153.0214748681778,54756
"buta-1,3-diene",5,aug-cc-pVDZ,CCSD,-154.9399130373326,198025
"buta-1,3-diene",5,aug-cc-pVDZ,ML,-154.9399130373326,134689
"buta-1,3-diene",5,aug-cc-pVDZ,ML_exact,-154.9399130373326,185761
"buta-1,3-diene",5,aug-cc-pVDZ,MP2,-154.9399130373326,142129
"buta-1,3-diene",5,aug-cc-pVDZ,random,-154.9399130373326,156025
"buta-1,3-diene",5,aug-cc-pVDZ,zeroes,-154.9432875067112,54289
"buta-1,3-diene",5,cc-pVDZ,CCSD,-154.9339204035167,142129
"buta-1,3-diene",5,cc-pVDZ,ML,-154.9339204035167,106929
"buta-1,3-diene",5,cc-pVDZ,ML_exact,-154.9339204035167,127449
"buta-1,3-diene",5,cc-pVDZ,MP2,-154.9339204035167,119025
"buta-1,3-diene",5,cc-pVDZ,random,-154.9339204035167,139129
"buta-1,3-diene",5,cc-pVDZ,zeroes,-154.9371847828519,59536
ethane,1,STO-3G,CCSD,-78.43204340496018,506944
ethane,1,STO-3G,ML,-78.43458469581535,393129
ethane,1,STO-3G,ML_exact,-78.42915066830196,497025
ethane,1,STO-3G,MP2,-78.43000979518663,425104
ethane,1,STO-3G,random,-78.31475475970745,806404
ethane,1,STO-3G,zeroes,-78.43120949107654,266256
ethane,1,aug-cc-pVDZ,CCSD,-79.23705560552187,532900
